longitude,latitude,housing_median_age,households,median_income,median_house_value
-122.23,37.88,41.0,126.0,83252.0,452600.0
-122.22,37.86,21.0,1138.0,83013.99999999999,358500.0
-122.24,37.85,52.0,177.0,72574.0,352100.0
-122.25,37.85,52.0,219.0,56430.99999999999,341300.0
-122.25,37.85,52.0,259.0,38462.0,342200.0
-122.25,37.85,52.0,193.0,40368.00000000001,269700.0
-122.25,37.84,52.0,514.0,36591.0,299200.0
-122.25,37.84,52.0,647.0,31200.0,241400.0
-122.26,37.84,42.0,595.0,20804.0,226700.0
-122.25,37.84,52.0,714.0,36912.0,261100.0
-122.26,37.85,52.0,402.0,32031.0,281500.0
-122.26,37.85,52.0,734.0,32705.000000000004,241800.0
-122.26,37.85,52.0,468.0,30750.0,213500.0
-122.26,37.84,52.0,174.0,26736.0,191300.0
-122.26,37.85,50.0,264.0,21250.0,140000.0
-122.27,37.85,52.0,331.0,27750.0,152500.0
-122.27,37.85,52.0,303.0,21202.0,155500.0
-122.26,37.84,50.0,419.0,19911.0,158700.0
-122.27,37.85,40.0,166.0,13577.999999999998,147500.0
-122.27,37.85,42.0,366.0,17135.0,159800.0
-122.27,37.84,52.0,478.0,17250.0,113900.0
-122.27,37.84,52.0,325.0,21806.0,99700.0
-122.28,37.85,41.0,119.0,24038.0,107500.0
-122.28,37.85,49.0,239.0,24597.000000000004,93800.0
-122.28,37.85,52.0,397.0,18080.0,105500.0
-122.28,37.84,50.0,473.0,16424.0,108900.0
-122.28,37.84,52.0,155.0,16875.0,132000.0
-122.28,37.84,49.0,378.0,19274.0,122300.0
-122.28,37.84,52.0,441.0,19615.0,115200.0
-122.27,37.84,48.0,335.0,17969.0,110400.0
-122.27,37.83,49.0,329.0,13750.0,104900.0
-122.27,37.83,49.0,264.0,14861.0,97200.0
-122.27,37.83,48.0,374.0,10972.0,104500.0
-122.28,37.83,52.0,403.0,14103.000000000002,103900.0
-122.26,37.83,52.0,309.0,34800.0,191400.0
-122.26,37.83,52.0,696.0,25898.0,176000.0
-122.26,37.83,52.0,395.0,20978.0,155400.0
-122.26,37.83,51.0,249.0,12851.999999999998,150000.0
-122.26,37.84,49.0,189.0,10250.0,118800.0
-122.26,37.84,52.0,198.0,39643.0,188800.0
-122.26,37.83,52.0,292.0,30125.0,184400.0
-122.26,37.83,52.0,382.0,26768.0,182300.0
-122.26,37.83,50.0,304.0,20260.0,142500.0
-122.27,37.82,43.0,253.0,17348.0,137500.0
-122.26,37.82,40.0,160.0,9506.0,187500.0
-122.27,37.82,40.0,352.0,17750.0,112500.0
-122.27,37.82,21.0,438.0,9218.0,171900.0
-122.27,37.82,43.0,407.0,15045.0,93800.0
-122.27,37.82,41.0,720.0,11108.0,97500.0
-122.27,37.82,52.0,400.0,12475.0,104200.0
-122.28,37.82,52.0,233.0,16097.999999999998,87500.0
-122.28,37.82,52.0,220.0,14113.0,83100.0
-122.28,37.82,52.0,259.0,15057.0,87500.0
-122.28,37.82,52.0,244.0,8172.0,85300.0
-122.28,37.82,52.0,304.0,12171.0,80300.0
-122.29,37.82,2.0,57.0,25625.0,60000.0
-122.29,37.83,52.0,187.0,33929.0,75700.0
-122.29,37.82,49.0,23.0,61182.99999999999,75000.0
-122.29,37.81,50.0,122.0,9011.0,86100.0
-122.3,37.81,52.0,159.0,11910.0,76100.0
-122.3,37.81,48.0,133.0,25938.0,73500.0
-122.3,37.81,52.0,187.0,11667.0,78400.0
-122.3,37.81,48.0,332.0,8056.0,84400.0
-122.29,37.8,52.0,147.0,26094.0,81300.0
-122.3,37.81,52.0,82.0,18516.0,85000.0
-122.29,37.81,46.0,611.0,9802.0,129200.0
-122.29,37.81,26.0,127.0,17719.0,82500.0
-122.29,37.81,46.0,277.0,7286.0,95200.0
-122.29,37.81,49.0,152.0,17500.0,75000.0
-122.29,37.81,46.0,7.0,4999.0,67500.0
-122.29,37.81,20.0,133.0,24830.0,137500.0
-122.28,37.81,17.0,439.0,9241.0,177500.0
-122.28,37.81,36.0,509.0,24464.0,102100.0
-122.28,37.81,19.0,207.0,11111.0,108300.0
-122.29,37.81,23.0,325.0,8026.0,112500.0
-122.28,37.8,38.0,155.0,20114.0,131300.0
-122.28,37.81,52.0,87.0,15208.0,112500.0
-122.28,37.81,52.0,155.0,8075.0,137500.0
-122.28,37.81,35.0,169.0,18088.0,118800.0
-122.28,37.81,52.0,115.0,24083.0,98200.0
-122.27,37.81,40.0,380.0,9770.0,118800.0
-122.27,37.81,10.0,330.0,7600.0,162500.0
-122.27,37.8,10.0,39.0,9722.0,137500.0
-122.27,37.8,52.0,85.0,12434.0,500001.0
-122.27,37.8,16.0,362.0,20938.0,162500.0
-122.28,37.8,52.0,88.0,8668.0,137500.0
-122.28,37.8,52.0,34.0,7500.0,162500.0
-122.27,37.79,27.0,302.0,26354.000000000004,187500.0
-122.27,37.8,39.0,467.0,18477.0,179200.0
-122.26,37.8,36.0,2323.0,20096.0,130000.0
-122.26,37.82,31.0,1180.0,28345.0,183800.0
-122.26,37.81,29.0,91.0,20062.000000000004,125000.0
-122.26,37.82,22.0,1250.0,12185.0,170000.0
-122.26,37.82,37.0,980.0,26104.0,193100.0
-122.25,37.81,28.0,1497.0,32177.0,273400.0
-122.25,37.81,39.0,228.0,31250.0,237500.0
-122.25,37.81,52.0,613.0,25795.0,350000.0
-122.26,37.81,34.0,1789.0,28406.0,335700.0
-122.24,37.82,52.0,244.0,49306.0,313400.0
-122.24,37.81,52.0,456.0,32727.0,268500.0
-122.25,37.81,52.0,422.0,31691.0,259400.0
-122.24,37.82,52.0,718.0,39000.0,275700.0
-122.25,37.82,28.0,802.0,39063.0,225000.0
-122.25,37.82,52.0,253.0,50917.0,262500.0
-122.25,37.82,32.0,1022.0,26429.0,218500.0
-122.25,37.82,26.0,1217.0,30233.0,255000.0
-122.25,37.83,52.0,519.0,31484.0,224100.0
-122.25,37.83,35.0,422.0,34722.0,243100.0
-122.25,37.83,52.0,291.0,31429.0,231600.0
-122.25,37.83,28.0,1661.0,24234.0,218500.0
-122.25,37.83,52.0,1037.0,30897.0,234100.0
-122.23,37.84,50.0,373.0,58596.0,327600.0
-122.23,37.84,47.0,485.0,52868.00000000001,347600.0
-122.24,37.83,41.0,376.0,59560.00000000001,366100.0
-122.24,37.85,37.0,47.0,49643.0,335000.0
-122.23,37.85,52.0,403.0,63434.0,373600.0
-122.24,37.84,52.0,555.0,51773.0,389500.0
-122.24,37.85,52.0,367.0,72354.0,391100.0
-122.22,37.85,28.0,956.0,54570.0,337300.0
-122.22,37.84,50.0,479.0,75000.0,295200.0
-122.21,37.84,44.0,597.0,60194.0,292300.0
-122.21,37.83,40.0,654.0,75544.0,411500.0
-122.2,37.84,30.0,343.0,60666.0,311500.0
-122.21,37.84,34.0,496.0,70548.0,325900.0
-122.19,37.84,18.0,194.0,116017.0,392600.0
-122.21,37.83,34.0,766.0,68976.0,333300.0
-122.19,37.83,28.0,190.0,82049.0,335200.0
-122.2,37.83,26.0,211.0,84010.0,351200.0
-122.19,37.83,29.0,269.0,68538.0,368900.0
-122.19,37.82,32.0,263.0,83170.0,365900.0
-122.2,37.82,37.0,176.0,70175.0,366700.0
-122.18,37.81,30.0,52.0,63624.0,483300.0
-122.2,37.81,45.0,426.0,67851.0,323500.0
-122.21,37.8,50.0,552.0,28929.0,216700.0
-122.21,37.8,38.0,487.0,30812.0,233100.0
-122.21,37.81,52.0,224.0,52402.0,296400.0
-122.22,37.81,52.0,308.0,65217.0,273700.0
-122.22,37.8,52.0,460.0,32632.0,227700.0
-122.22,37.8,52.0,441.0,30298.0,199600.0
-122.22,37.81,52.0,340.0,40720.0,270100.0
-122.22,37.81,52.0,521.0,53509.0,302100.0
-122.23,37.81,52.0,213.0,47708.00000000001,314700.0
-122.22,37.81,52.0,380.0,81564.0,390100.0
